pi,amnt,payment,merch
4,30.14,1,10
4,41,1,3
4,12.75,1,4
3,3.98,1,1
1,9.54,1,1
3,18.56,1,1
1,28.91,1,1
1,5,1,16
3,19,1,4
1,40,1,4
3,9,1,4
3,28.51,1,1
4,5.18,1,1
5,45.05,1,3
1,10,1,3
3,4,1,4
3,115.35,1,1
4,158,1,10
3,80,1,3
1,48,1,1
3,109.96,1,2
4,32.05,1,1
3,7.11,1,1
NA,5,0,NA
4,3.68,1,4
1,72,1,4
NA,11,0,NA
NA,100,0,NA
3,10.35,1,4
4,116.86,1,5
1,32,1,7
4,50.42,1,4
3,45,1,3
1,4,1,17
3,37.4,1,3
3,110.86,1,3
1,150,1,7
3,16.84,1,5
3,6,1,4
3,41.11,1,4
3,101.87,1,3
3,32.74,1,4
4,45.42,1,3
4,26.45,1,4
NA,100,0,NA
4,6,1,7
3,8.24,1,1
1,8.99,1,4
3,24.88,1,1
3,69.58,1,3
1,50.82,1,3
1,5,1,4
3,48.5,1,3
4,47.07,1,3
4,77.37,1,5
4,42.39,1,1
1,45,1,16
3,22.65,1,3
4,60.07,1,1
4,78.09,1,3
3,124.53,1,3
NA,57,0,NA
3,78,1,6
3,30.84,1,4
4,35,1,5
3,45.6,1,4
NA,101,0,NA
4,20,1,11
NA,90,0,NA
6,31.26,1,5
3,26.59,1,4
1,19.59,1,5
3,113.96,1,5
4,10.87,1,1
3,25.35,1,1
7,15,1,8
13,3.08,1,21
3,49,1,5
1,40,1,5
6,10,1,16
3,13,1,6
7,50,1,15
4,10.87,1,1
4,18.47,1,5
6,168.34,1,6
4,10.43,1,1
3,69.99,1,5
6,756,1,15
6,735.31,1,15
3,102.04,1,2
7,548,1,15
4,168.41,1,1
1,16,1,17
3,23.08,1,9
1,20,1,3
NA,2019,0,NA
4,9.99,1,10
2,75,1,17
3,530,1,1
6,25.14,1,8
4,50,1,1
2,80,1,11
3,76,1,1
1,525,1,14
4,50,1,2
1,10,1,16
4,24.22,1,5
4,14.65,1,5
4,8.94,1,5
4,11.63,1,5
4,30.52,1,5
4,10,1,17
1,74.8,1,1
4,10,1,7
4,7,1,5
4,19.45,1,15
1,55.73,1,17
0,57.73,1,17
1,2,1,1
2,175,1,17
1,1,1,17
4,45,1,2
3,162.65,1,1
6,25,1,21
4,65,1,3
7,1325,1,15
3,525.56,1,13
6,105.85,1,10
6,59.56,1,15
4,3.99,1,10
3,77.94,1,7
3,31.23,1,10
4,54.39,1,5
4,47.23,1,4
3,88.26,1,1
NA,24,0,NA
3,180.19,1,3
4,43.16,1,5
1,6.97,1,4
1,3,1,1
1,110,1,7
3,20,1,17
7,800,1,15
4,149.89,1,1
4,99.03,1,15
6,42.1,1,15
6,63.12,1,15
3,195,1,8
1,3,1,3
4,2.19,1,4
1,14.5,1,3
NA,100,0,NA
4,56.59,1,5
3,18.77,1,5
NA,2,0,NA
3,14.45,1,4
1,11.74,1,4
2,10,1,17
3,14.99,1,4
4,16.45,1,4
7,60,1,15
4,35,1,15
6,28,1,15
7,500,1,17
1,80,1,7
4,199.92,1,1
1,15,1,1
3,11.1,1,5
3,1.7,1,2
4,132.98,1,14
1,5,1,16
3,44,1,2
4,59.51,1,5
1,4.54,1,4
3,20.29,1,2
3,4,1,13
3,11.66,1,4
1,6,1,1
3,211.39,1,10
3,24.53,1,1
NA,20,0,NA
1,10,1,4
4,7.38,1,4
4,15.12,1,4
4,20,1,4
3,126.32,1,1
10,18.5,1,5
3,11,1,4
3,40,1,3
4,268.84,1,1
4,5.06,1,4
3,207.33,1,5
3,36.66,1,4
3,176.7,1,13
NA,1200,0,NA
1,14,1,5
1,31.51,1,3
6,150,1,15
1,21.15,1,4
1,28.5,1,3
4,88.4,1,8
3,5.09,1,1
3,18,1,6
1,2,1,6
3,42.23,1,2
1,20,1,17
3,28.4,1,5
1,36.55,1,4
3,30.89,1,1
3,20.02,1,2
3,1.5,1,2
3,126.29,1,10
1,20,1,17
3,19.64,1,5
3,6.79,1,5
1,8.36,1,3
1,25,1,6
1,7.02,1,1
2,150,1,17
1,15,1,16
3,23.54,1,4
1,2,1,1
1,115.57,1,1
3,650,1,7
6,1200,1,14
4,37,1,1
6,150,1,12
4,84,1,5
3,76,1,5
1,10,1,4
NA,85.76,0,NA
4,71.27,1,1
6,35,1,3
3,121,1,1
1,21,1,3
3,41,1,3
4,38.56,1,2
1,100,1,17
2,20,1,17
4,21,1,3
2,125,1,17
3,158.83,1,1
3,55,1,7
1,90,1,16
3,2.98,1,1
3,36.11,1,1
3,182,1,1
3,1074.26,1,5
11,200,1,15
1,5,1,9
11,333,1,15
3,8,1,2
2,50,1,17
